"","source","target","weight","date"
"466","fa10-01-05","sp10-01-43",0,2010-09-01
"467","fa10-01-05","sp10-01-33",0,2010-09-01
"468","fa10-01-05","fa10-01-71",2,2010-09-01
"469","fa10-01-05","fa10-01-50",0,2010-09-01
"470","fa10-01-05","fa10-01-42",0,2010-09-01
"471","fa10-01-05","fa10-01-82",0,2010-09-01
"472","fa10-01-05","fa10-01-27",0,2010-09-01
"473","fa10-01-05","fa10-01-11",0,2010-09-01
"474","fa10-01-05","sp10-01-30",0,2010-09-01
"475","fa10-01-05","fa10-01-66",0,2010-09-01
"476","fa10-01-05","fa10-01-65",0,2010-09-01
"477","fa10-01-05","fa10-01-26",0,2010-09-01
"478","fa10-01-05","fa10-01-32",0,2010-09-01
"479","fa10-01-05","fa10-01-09",0,2010-09-01
"480","fa10-01-05","fa10-01-25",0,2010-09-01
"481","fa10-01-05","fa10-01-31",0,2010-09-01
"482","fa10-01-05","sp10-01-54",0,2010-09-01
"483","fa10-01-05","fa10-01-34",0,2010-09-01
"484","fa10-01-05","fa10-01-57",0,2010-09-01
"485","fa10-01-05","fa10-01-55",0,2010-09-01
"486","fa10-01-05","fa10-01-30",0,2010-09-01
"487","fa10-01-05","fa10-01-43",0,2010-09-01
"488","fa10-01-05","fa10-01-44",0,2010-09-01
"489","fa10-01-05","fa10-01-62",0,2010-09-01
"490","fa10-01-05","sp10-01-36",0,2010-09-01
"491","fa10-01-05","fa10-01-28",0,2010-09-01
"492","fa10-01-05","fa10-01-29",0,2010-09-01
"493","fa10-01-05","fa10-01-52",0,2010-09-01
"494","fa10-01-05","fa10-01-61",0,2010-09-01
"495","fa10-01-05","fa10-01-56",0,2010-09-01
"496","fa10-01-05","sp10-01-01",0,2010-09-01
"497","fa10-01-06","sp10-01-53",1,2010-09-01
